Date,Time,ID,pH,Air Temperature,TDS,Light Intensity,Humidity,EC,Label
20/05/2022,07:00:00 ,ICPKNW,4.2,40,1590,185,26,3.18,7
20/05/2022,07:00:04 ,ICPKNW,6.4,28,1549,711,39,3.098,6
20/05/2022,07:00:08 ,ICPKNW,6.4,25,1605,356,17,3.21,1
20/05/2022,07:00:12 ,ICPKNW,4.2,30,1435,109,100,2.87,4
20/05/2022,07:00:16 ,ICPKNW,7,18,357,280,85,0.714,17
20/05/2022,07:00:20 ,ICPKNW,4.1,21,1231,105,90,2.462,4
20/05/2022,07:00:24 ,ICPKNW,7.7,39,246,91,88,0.492,17
20/05/2022,07:00:28 ,ICPKNW,5.9,20,795,893,100,1.59,2
20/05/2022,07:00:32 ,ICPKNW,5.1,39,1384,893,84,2.768,12
20/05/2022,07:00:36 ,ICPKNW,6.2,17,885,66,51,1.77,0
20/05/2022,07:00:40 ,ICPKNW,4.1,21,487,54,41,0.974,16
20/05/2022,07:00:44 ,ICPKNW,5.2,24,706,667,63,1.412,12
20/05/2022,07:00:48 ,ICPKNW,4.1,18,284,976,74,0.568,14
20/05/2022,07:00:52 ,ICPKNW,4.1,33,422,565,35,0.844,14
20/05/2022,07:00:56 ,ICPKNW,5.7,24,295,941,20,0.59,11
20/05/2022,07:01:00 ,ICPKNW,5.7,23,779,962,68,1.558,2
20/05/2022,07:01:04 ,ICPKNW,4.6,21,1208,514,85,2.416,4
20/05/2022,07:01:08 ,ICPKNW,7.3,38,255,154,86,0.51,17
20/05/2022,07:01:12 ,ICPKNW,6.1,37,939,128,72,1.878,0
20/05/2022,07:01:16 ,ICPKNW,7.3,37,1398,373,50,2.796,5
20/05/2022,07:01:20 ,ICPKNW,7.8,24,714,987,93,1.428,13
20/05/2022,07:01:24 ,ICPKNW,4.7,21,613,420,80,1.226,16
20/05/2022,07:01:28 ,ICPKNW,5.5,34,1412,908,37,2.824,2
20/05/2022,07:01:32 ,ICPKNW,4.2,27,1489,360,76,2.978,4
20/05/2022,07:01:36 ,ICPKNW,5.3,24,710,808,37,1.42,12
20/05/2022,07:01:40 ,ICPKNW,7.2,16,306,49,29,0.612,17
20/05/2022,07:01:44 ,ICPKNW,5.7,16,669,822,52,1.338,11
20/05/2022,07:01:48 ,ICPKNW,5.5,20,1328,135,58,2.656,0
20/05/2022,07:01:52 ,ICPKNW,6.2,24,237,609,29,0.474,11
20/05/2022,07:01:56 ,ICPKNW,7,36,844,231,54,1.688,5
