Date,Time,ID,TDS,Light Intensity,pH,Air Temperature,Humidity,EC,Label
2022-05-20,08:24:05,40TWL4,400,861,7.606,36,67,2.837,15
2022-05-20,08:24:10,40TWL4,670,870,7.476,37,68,2.592,15
2022-05-20,08:24:15,40TWL4,460,833,7.398,23,78,2.557,15
2022-05-20,08:24:20,40TWL4,509,973,7.351,21,28,2.307,15
2022-05-20,08:24:25,40TWL4,564,913,6.913,23,87,2.259,15
2022-05-20,08:24:30,40TWL4,430,863,7.127,21,53,2.553,15
2022-05-20,08:24:35,40TWL4,342,945,6.794,31,22,3.372,15
2022-05-20,08:24:40,40TWL4,650,966,7.088,39,68,3.305,15
2022-05-20,08:24:45,40TWL4,538,970,7.85,30,36,2.185,15
2022-05-20,08:24:50,40TWL4,354,852,7.672,30,4,3.349,15
2022-05-20,08:24:55,40TWL4,405,936,7.445,22,76,3.281,15
2022-05-20,08:25:00,40TWL4,548,916,7.948,35,10,2.803,15
2022-05-20,08:25:05,40TWL4,640,817,6.608,34,2,2.582,15
2022-05-20,08:25:10,40TWL4,361,935,6.896,36,86,3.046,15
2022-05-20,08:25:15,40TWL4,332,813,6.667,26,30,2.892,15
2022-05-20,08:25:20,40TWL4,450,815,6.862,33,47,2.399,15
2022-05-20,08:25:25,40TWL4,646,894,7.141,28,14,2.346,15
2022-05-20,08:25:30,40TWL4,560,945,7.328,31,69,2.529,15
2022-05-20,08:25:35,40TWL4,340,874,7.697,32,32,2.35,15
2022-05-20,08:25:40,40TWL4,324,830,6.693,25,9,3.277,15
2022-05-20,08:25:45,40TWL4,563,969,7.937,21,53,2.329,15
2022-05-20,08:25:50,40TWL4,601,955,7.538,39,94,2.582,15
2022-05-20,08:25:55,40TWL4,391,804,7.67,40,45,3.06,15
2022-05-20,08:26:00,40TWL4,343,811,7.236,37,85,2.052,15
2022-05-20,08:26:05,40TWL4,530,820,7.476,30,26,2.661,15
2022-05-20,08:26:10,40TWL4,691,844,7.986,36,79,2.926,15
2022-05-20,08:26:15,40TWL4,460,804,7.331,32,87,3.165,15
2022-05-20,08:26:20,40TWL4,566,915,7.748,22,57,2.901,15
2022-05-20,08:26:25,40TWL4,353,927,7.781,35,46,2.472,15
2022-05-20,08:26:30,40TWL4,404,822,6.931,30,5,3.421,15
2022-05-20,08:26:35,40TWL4,324,952,7.486,21,25,2.905,15
2022-05-20,08:26:40,40TWL4,538,939,6.5,23,20,2.6,15
2022-05-20,08:26:45,40TWL4,473,821,7.289,22,18,2.699,15
2022-05-20,08:26:50,40TWL4,310,1000,7.929,35,48,2.605,15
2022-05-20,08:26:55,40TWL4,388,868,7.189,37,34,2.016,15
2022-05-20,08:27:00,40TWL4,450,985,7.034,32,82,2.172,15
2022-05-20,08:27:05,40TWL4,458,964,7.927,30,13,2.044,15
2022-05-20,08:27:10,40TWL4,453,936,6.61,21,31,3.41,15
2022-05-20,08:27:15,40TWL4,335,882,6.993,39,66,2.065,15
2022-05-20,08:27:20,40TWL4,493,812,6.822,31,81,2.992,15
2022-05-20,08:27:25,40TWL4,666,978,7.536,20,89,2.315,15
2022-05-20,08:27:30,40TWL4,647,977,7.455,26,49,3.331,15
2022-05-20,08:27:35,40TWL4,414,999,7.792,27,45,3.263,15
2022-05-20,08:27:40,40TWL4,386,855,7.815,25,66,2.202,15
2022-05-20,08:27:45,40TWL4,433,971,7.587,22,75,3.214,15
2022-05-20,08:27:50,40TWL4,558,889,6.57,28,80,3.406,15
