Date,Time,ID,TDS,Light Intensity,pH,Air Temperature,Humidity,EC,Label
2022-05-20,12:57:25,40TWL4,1289,578,5.709,27,19,2.378,1
2022-05-20,12:57:30,40TWL4,1009,659,5.616,26,48,3.455,1
2022-05-20,12:57:35,40TWL4,1118,583,6.306,39,20,2.551,1
2022-05-20,12:57:40,40TWL4,1147,657,6.076,31,19,2.764,1
2022-05-20,12:57:45,40TWL4,1020,723,6.492,24,68,2.628,1
2022-05-20,12:57:50,40TWL4,1397,553,6.311,27,14,2.816,1
2022-05-20,12:57:55,40TWL4,1317,793,6.208,28,1,2.086,1
2022-05-20,12:58:00,40TWL4,1171,693,6.331,40,66,2.161,1
2022-05-20,12:58:05,40TWL4,1022,753,5.581,21,19,2.577,1
2022-05-20,12:58:10,40TWL4,1184,722,6.022,33,20,2.435,1
2022-05-20,12:58:15,40TWL4,1056,641,6.163,25,94,2.415,1
2022-05-20,12:58:20,40TWL4,1284,719,5.902,37,8,2.313,1
2022-05-20,12:58:25,40TWL4,1434,405,5.613,25,0,2.3,1
2022-05-20,12:58:30,40TWL4,1464,710,6.145,29,56,2.354,1
2022-05-20,12:58:35,40TWL4,1491,661,5.768,31,36,3.028,1
2022-05-20,12:58:40,40TWL4,1390,597,5.508,23,79,3.05,1
2022-05-20,12:58:45,40TWL4,1311,568,5.959,24,84,2.666,1
2022-05-20,12:58:50,40TWL4,1344,663,6.151,21,81,3.21,1
2022-05-20,12:58:55,40TWL4,1219,685,6.159,34,45,2.43,1
2022-05-20,12:59:00,40TWL4,1321,501,5.718,22,20,2.629,1
2022-05-20,12:59:05,40TWL4,1287,481,6.129,38,33,3.454,1
2022-05-20,12:59:10,40TWL4,1307,429,5.881,21,56,2.669,1
2022-05-20,12:59:15,40TWL4,1319,630,6.14,33,59,2.734,1
2022-05-20,12:59:20,40TWL4,1006,708,6.423,32,80,3.242,1
2022-05-20,12:59:25,40TWL4,1289,595,6.342,29,91,2.442,1
2022-05-20,12:59:30,40TWL4,1064,422,5.896,34,93,3.416,1
2022-05-20,12:59:35,40TWL4,1272,743,6.496,33,52,3.396,1
2022-05-20,12:59:40,40TWL4,1018,633,5.607,38,98,3.075,1
2022-05-20,12:59:45,40TWL4,1394,579,6.104,34,8,2.164,1
