Date,Time,ID,TDS,Light Intensity,pH,Air Temperature,Humidity,EC,Label
2022-05-20,00:04:05,GL5AYT,1159,829,5.209,37,39,3.199,9
2022-05-20,00:04:10,GL5AYT,1288,993,5.344,31,99,2.439,9
2022-05-20,00:04:15,GL5AYT,1186,988,4.203,36,1,3.477,9
2022-05-20,00:04:20,GL5AYT,1302,965,4.244,39,33,2.602,9
2022-05-20,00:04:25,GL5AYT,1165,950,4.524,25,33,2.052,9
2022-05-20,00:04:30,GL5AYT,1027,891,4.447,24,42,3.163,9
2022-05-20,00:04:35,GL5AYT,1079,820,4.773,38,5,2.327,9
2022-05-20,00:04:40,GL5AYT,1259,862,5.225,34,36,3.153,9
2022-05-20,00:04:45,GL5AYT,1085,932,4.411,35,92,3.035,9
2022-05-20,00:04:50,GL5AYT,1236,974,5.234,33,81,3.347,9
2022-05-20,00:04:55,GL5AYT,1178,893,4.615,24,10,2.747,9
2022-05-20,00:05:00,GL5AYT,1433,852,4.811,40,85,2.41,9
2022-05-20,00:05:05,GL5AYT,1170,818,4.875,36,98,3.286,9
2022-05-20,00:05:10,GL5AYT,1036,953,4.223,21,86,3.312,9
2022-05-20,00:05:15,GL5AYT,1260,908,4.149,28,97,2.316,9
2022-05-20,00:05:20,GL5AYT,1457,837,4.48,26,61,2.459,9
2022-05-20,00:05:25,GL5AYT,1191,911,4.597,38,13,2.882,9
2022-05-20,00:05:30,GL5AYT,1127,967,5.169,29,64,3.4,9
2022-05-20,00:05:35,GL5AYT,1145,862,5.486,21,53,3.485,9
2022-05-20,00:05:40,GL5AYT,1479,929,4.944,33,32,2.148,9
2022-05-20,00:05:45,GL5AYT,1025,804,5.283,39,85,2.66,9
2022-05-20,00:05:50,GL5AYT,1319,978,4.88,26,11,2.759,9
2022-05-20,00:05:55,GL5AYT,1056,984,4.484,33,39,3.247,9
2022-05-20,00:06:00,GL5AYT,1282,986,4.859,25,43,2.638,9
2022-05-20,00:06:05,GL5AYT,1020,866,4.516,34,75,3.207,9
2022-05-20,00:06:10,GL5AYT,1333,902,4.328,29,26,3.039,9
2022-05-20,00:06:15,GL5AYT,1114,816,5.268,30,17,2.468,9
2022-05-20,00:06:20,GL5AYT,1334,850,4.438,35,88,2.805,9
2022-05-20,00:06:25,GL5AYT,1477,873,4.237,37,34,2.914,9
2022-05-20,00:06:30,GL5AYT,1420,800,5.04,32,85,2.455,9
2022-05-20,00:06:35,GL5AYT,1456,839,4.359,22,68,3.443,9
2022-05-20,00:06:40,GL5AYT,1125,873,4.648,36,11,2.451,9
2022-05-20,00:06:45,GL5AYT,1331,978,4.139,24,15,3.1,9
2022-05-20,00:06:50,GL5AYT,1474,801,4.542,25,62,2.069,9
2022-05-20,00:06:55,GL5AYT,1387,883,5.155,34,100,3.179,9
2022-05-20,00:07:00,GL5AYT,1210,923,4.845,20,65,3.384,9
2022-05-20,00:07:05,GL5AYT,1167,927,5.368,30,76,3.441,9
2022-05-20,00:07:10,GL5AYT,1264,998,5.058,27,55,2.339,9
2022-05-20,00:07:15,GL5AYT,1114,849,4.512,31,47,2.457,9
2022-05-20,00:07:20,GL5AYT,1012,978,4.401,40,52,3.362,9
2022-05-20,00:07:25,GL5AYT,1344,825,4.094,28,73,2.403,9
2022-05-20,00:07:30,GL5AYT,1140,815,4.474,24,88,2.436,9
2022-05-20,00:07:35,GL5AYT,1222,867,4.446,29,45,2.316,9
